split,seed,coverage,source_hidden,inferred_cycle_s,true_cycle_s,abs_error_s,abs_error_pct
test,5088,0.25,True,85.0270722464183,88.44988145372197,3.422809207303672,3.8697725209439953
test,5089,1.0,False,67.95870423885839,70.64914367373915,2.6904394348807585,3.8081699154137327
test,5089,0.75,True,67.90604884570881,70.00681551623983,2.1007666705310157,3.000803071871896
test,5090,1.0,False,72.84379002489125,73.4767405569497,0.6329505320584445,0.8614297902447958
test,5096,1.0,False,76.35247119467289,77.74415302055921,1.391681825886323,1.7900790886721694
test,5096,0.75,False,76.35247119467289,77.74415302055921,1.391681825886323,1.7900790886721694
test,5096,0.5,False,74.48834177675963,77.74415302055921,3.2558112437995845,4.187853513483637
test,5096,0.25,True,75.53555863394698,78.4947859343749,2.9592273004279264,3.769966712059029
test,5097,1.0,False,85.54461710749116,87.91691506893093,2.37229796143977,2.698340768189806
test,5097,0.75,False,85.54461710749116,87.91691506893093,2.37229796143977,2.698340768189806
test,5097,0.5,False,82.74632081049349,87.91691506893093,5.170594258437447,5.88122803715697
test,5101,1.0,False,69.62022509832313,71.48112822440653,1.8609031260834001,2.603348845084419
test,5101,0.75,False,69.62022509832313,71.48112822440653,1.8609031260834001,2.603348845084419
test,5101,0.5,False,69.27077068120174,71.26520532502059,1.994434643818849,2.7986092718358035
test,5103,1.0,False,87.1730037177132,90.94922182996537,3.7762181122521667,4.152007060942222
test,5103,0.75,False,87.1730037177132,90.94922182996537,3.7762181122521667,4.152007060942222
test,5103,0.5,True,87.1730037177132,90.94922182996537,3.7762181122521667,4.152007060942222
test,5103,0.25,False,80.6925629056898,90.94922182996537,10.25665892427557,11.277346543383258
test,5104,1.0,False,80.14886779584437,82.04921889804281,1.9003511021984423,2.316111143678143
test,5104,0.75,False,76.94990822840386,82.04921889804281,5.099310669638953,6.214941151329585
test,5104,0.5,False,76.94990822840386,82.04921889804281,5.099310669638953,6.214941151329585
test,5107,1.0,False,82.18198499064844,88.23053093714745,6.048545946499004,6.855388811847671
test,5107,0.75,True,80.35164765835653,87.43881309893615,7.087165440579625,8.105285501257395
test,5107,0.5,True,78.74854567013827,85.95341252781272,7.204866857674446,8.382292972187816
test,5108,1.0,False,83.24666367501486,86.59752341166936,3.350859736654499,3.8694637036270687
test,5108,0.75,False,83.15730159375283,86.04432077007799,2.887019176325154,3.3552698777641097
test,5108,0.5,False,83.24666367501486,86.59752341166936,3.350859736654499,3.8694637036270687
test,5109,1.0,False,69.63906540381335,71.5991152234277,1.9600498196143548,2.7375335763548843
test,5109,0.75,False,66.6829662737131,69.83071247126358,3.1477461975504752,4.507681629119596
