split,seed,coverage,method,fault_kind,source_hidden,magnitude,threshold,target_fpr,n_windows_during,detection_rate,detected_episode,top1,within1,median_station_error,lead_time_min,top1_episode,within1_episode,false_alarm_rate,first_alert_t_s,first_correct_alert_t_s
test,5001,1.0,B2_observed_only_twin,QUALITY_DRIFT,False,13.6887759257169,42.5638498837417,0.1,71,0.11267605633802817,1.0,0.0,0.0,9.0,,0.0,0.0,0.07317073170731707,37029.793365640886,
test,5001,1.0,B0_SPC_observed,QUALITY_DRIFT,False,13.6887759257169,5.124273832797681,0.005,71,0.0,0.0,,,,,0.0,0.0,0.0,,
test,5001,1.0,B0_SPC_observed,QUALITY_DRIFT,False,13.6887759257169,5.124273832797681,0.01,71,0.0,0.0,,,,,0.0,0.0,0.0,,
test,5001,1.0,B0_SPC_observed,QUALITY_DRIFT,False,13.6887759257169,5.124273832797681,0.02,71,0.0,0.0,,,,,0.0,0.0,0.0,,
test,5001,1.0,B0_SPC_observed,QUALITY_DRIFT,False,13.6887759257169,5.124273832797681,0.05,71,0.014084507042253521,1.0,0.0,0.0,4.0,,0.0,0.0,0.0,44515.121078888595,
test,5001,1.0,B0_SPC_observed,QUALITY_DRIFT,False,13.6887759257169,5.124273832797681,0.1,71,0.028169014084507043,1.0,0.0,0.0,4.0,,0.0,0.0,0.0,44222.797011952156,
test,5001,1.0,B1_IsolationForest,QUALITY_DRIFT,False,13.6887759257169,0.7784702529546166,0.005,71,0.0,0.0,,,,,0.0,0.0,0.0,,
test,5001,1.0,B1_IsolationForest,QUALITY_DRIFT,False,13.6887759257169,0.7784702529546166,0.01,71,0.0,0.0,,,,,0.0,0.0,0.0,,
test,5001,1.0,B1_IsolationForest,QUALITY_DRIFT,False,13.6887759257169,0.7784702529546166,0.02,71,0.0,0.0,,,,,0.0,0.0,0.0,,
test,5001,1.0,B1_IsolationForest,QUALITY_DRIFT,False,13.6887759257169,0.7784702529546166,0.05,71,0.0,0.0,,,,,0.0,0.0,0.024390243902439025,,
test,5001,1.0,B1_IsolationForest,QUALITY_DRIFT,False,13.6887759257169,0.7784702529546166,0.1,71,0.028169014084507043,1.0,0.0,0.0,7.0,,0.0,0.0,0.10569105691056911,31612.121211817874,
test,5001,0.75,RippleTwin,QUALITY_DRIFT,False,13.6887759257169,31.30364205825687,0.005,71,0.0,0.0,,,,,0.0,0.0,0.0,,
test,5001,0.75,RippleTwin,QUALITY_DRIFT,False,13.6887759257169,31.30364205825687,0.01,71,0.0,0.0,,,,,0.0,0.0,0.0,,
test,5001,0.75,RippleTwin,QUALITY_DRIFT,False,13.6887759257169,31.30364205825687,0.02,71,0.0,0.0,,,,,0.0,0.0,0.0,,
test,5001,0.75,RippleTwin,QUALITY_DRIFT,False,13.6887759257169,31.30364205825687,0.05,71,0.028169014084507043,1.0,0.0,0.0,11.5,,0.0,0.0,0.024390243902439025,46014.42664168416,
