split,seed,coverage,method,fault_kind,source_hidden,magnitude,threshold,true_station,n_quiet_windows,false_alarm_rate
test,5002,0.75,B1_IsolationForest,SLOWDOWN,False,1.2319251079170532,0.7423023198141773,4.0,140,0.04285714285714286
test,5002,0.5,RippleTwin,SLOWDOWN,True,1.2319251079170532,39.99294167411538,4.0,140,0.007142857142857143
test,5002,0.5,B2_observed_only_twin,SLOWDOWN,True,1.2319251079170532,39.987745614480566,4.0,140,0.0
test,5002,0.5,B0_SPC_observed,SLOWDOWN,True,1.2319251079170532,5.012127239822025,4.0,140,0.014285714285714285
test,5002,0.5,B3_TurningPoint,SLOWDOWN,True,1.2319251079170532,0.40563520887847676,4.0,140,0.02142857142857143
test,5002,0.5,B1_IsolationForest,SLOWDOWN,True,1.2319251079170532,0.7423023198141773,4.0,140,0.04285714285714286
test,5002,0.25,RippleTwin,SLOWDOWN,True,1.2319251079170532,23.87887940963418,4.0,140,0.0
test,5002,0.25,B2_observed_only_twin,SLOWDOWN,True,1.2319251079170532,23.87066583332845,4.0,140,0.0
test,5002,0.25,B0_SPC_observed,SLOWDOWN,True,1.2319251079170532,4.674774997918179,4.0,140,0.0
test,5002,0.25,B3_TurningPoint,SLOWDOWN,True,1.2319251079170532,0.39660743155955724,4.0,140,0.0
test,5002,0.25,B1_IsolationForest,SLOWDOWN,True,1.2319251079170532,0.7158774793615637,4.0,140,0.0
test,5003,1.0,RippleTwin,SLOWDOWN,False,1.2705041636670094,42.5638498837417,34.0,128,0.0078125
test,5003,1.0,B2_observed_only_twin,SLOWDOWN,False,1.2705041636670094,42.5638498837417,34.0,128,0.0078125
test,5003,1.0,B0_SPC_observed,SLOWDOWN,False,1.2705041636670094,5.124273832797681,34.0,128,0.15625
test,5003,1.0,B3_TurningPoint,SLOWDOWN,False,1.2705041636670094,0.4108436123761012,34.0,128,0.0
test,5003,1.0,B1_IsolationForest,SLOWDOWN,False,1.2705041636670094,0.7784702529546166,34.0,128,0.0
test,5003,0.75,RippleTwin,SLOWDOWN,True,1.2705041636670094,31.30364205825687,34.0,128,0.0234375
test,5003,0.75,B2_observed_only_twin,SLOWDOWN,True,1.2705041636670094,31.30364205825687,34.0,128,0.0234375
